Ticker	Security	SEC_filings	GICS_Sector	GICS_Sub_Industry	Address_of_Headquarters	Date_first_added	CIK
JNPR	Juniper Networks	reports	Information Technology	Networking Equipment	"Sunnyvale, California"		1043604
JPM	JPMorgan Chase & Co.	reports	Financials	Banks	"New York, New York"	6/30/75	19617
JWN	Nordstrom	reports	Consumer Discretionary	Department Stores	"Seattle, Washington"	8/31/86	72333
K	Kellogg Co.	reports	Consumer Staples	Packaged Foods & Meats	"Battle Creek, Michigan"		55067
KEY	KeyCorp	reports	Financials	Banks	"Cleveland, Ohio"	3/1/94	91576
KIM	Kimco Realty	reports	Real Estate	REITs	"New Hyde Park, New York"		879101
KLAC	KLA-Tencor Corp.	reports	Information Technology	Semiconductor Equipment	"Milpitas, California"		319201
KMB	Kimberly-Clark	reports	Consumer Staples	Household Products	"Irving, Texas"		55785
KMX	Carmax Inc	reports	Consumer Discretionary	Specialty Stores	"Richmond, Virginia"	6/28/10	1170010
KO	Coca Cola Company	reports	Consumer Staples	Soft Drinks	"Atlanta, Georgia"		21344
KR	Kroger Co.	reports	Consumer Staples	Food Retail	"Cincinnati, Ohio"		56873
KSS	Kohl's Corp.	reports	Consumer Discretionary	General Merchandise Stores	"Menomonee Falls, Wisconsin"		885639
KSU	Kansas City Southern	reports	Industrials	Railroads	"Kansas City, Missouri"	5/24/13	54480
LB	L Brands Inc.	reports	Consumer Discretionary	Apparel Retail	"Columbus, Ohio"	9/30/83	701985
LEG	Leggett & Platt	reports	Industrials	Industrial Conglomerates	"Carthage, Missouri"		58492
LEN	Lennar Corp.	reports	Consumer Discretionary	Homebuilding	"Miami, Florida"		920760
LH	Laboratory Corp. of America Hol	reports	Health Care	Health Care Facilities	"Burlington, North Carolina"		920148
LKQ	LKQ Corporation	reports	Consumer Discretionary	Distributors	"Chicago, Illinois"	5/23/16	1065696
LLL	L-3 Communications Holdings	reports	Industrials	Industrial Conglomerates	"New York, New York"		1056239
LLTC	Linear Technology Corp.	reports	Information Technology	Semiconductors	"Milpitas, California"		791907
LLY	Lilly (Eli) & Co.	reports	Health Care	Pharmaceuticals	"Indianapolis, Indiana"	12/31/70	59478
LMT	Lockheed Martin Corp.	reports	Industrials	Aerospace & Defense	"Bethesda, Maryland"	7/31/84	936468
LNT	Alliant Energy Corp	reports	Utilities	Electric Utilities	"Madison, Wisconsin"	7/1/16	352541
LOW	Lowe's Cos.	reports	Consumer Discretionary	Home Improvement Retail	"Mooresville, North Carolin"	2/29/84	60667
LRCX	Lam Research	reports	Information Technology	Semiconductor Equipment	"Fremont, California"	6/29/12	707549
LUK	Leucadia National Corp.	reports	Financials	Multi-Sector Holdings	"New York, New York"	8/27/07	96223
LUV	Southwest Airlines	reports	Industrials	Airlines	"Dallas, Texas"	7/1/94	92380
LVLT	Level 3 Communications	reports	Telecommunications Servi	Alternative Carriers	"Broomfield, Colorado"	11/5/14	794323
M	Macy's Inc.	reports	Consumer Discretionary	Department Stores	"Cincinnati, Ohio"		794367
MA	Mastercard Inc.	reports	Information Technology	Internet Software & Services	"Harrison, New York"	7/18/08	1141391
MAA	Mid-America Apartments	reports	Real Estate	Residential REITs	"Memphis, Tennessee"	12/2/16	912595
MAC	Macerich	reports	Real Estate	Retail REITs	"Santa Monica, California"	5/9/13	912242
MAR	Marriott Int'l.	reports	Consumer Discretionary	"Hotels, Resorts & Cruise Lines"	"Bethesda, Maryland"		1048286
MAS	Masco Corp.	reports	Industrials	Building Products	"Taylor, Michigan"	6/30/81	62996
MAT	Mattel Inc.	reports	Consumer Discretionary	Leisure Products	"El Segundo, California"	3/31/82	63276
MCD	McDonald's Corp.	reports	Consumer Discretionary	Restaurants	"Oak Brook, Illinois"	6/30/70	63908
MCHP	Microchip Technology	reports	Information Technology	Semiconductors	"Chandler, Arizona"	9/7/07	827054
MCK	McKesson Corp.	reports	Health Care	Health Care Distributors	"San Francisco, California"		927653
MCO	Moody's Corp	reports	Financials	Diversified Financial Services	"New York, New York"		1059556
MDLZ	Mondelez International	reports	Consumer Staples	Packaged Foods & Meats	"Northfield, Illinois"	10/2/12	1103982
MET	MetLife Inc.	reports	Financials	Life & Health Insurance	"New York, New York"		1099219
MHK	Mohawk Industries	reports	Consumer Discretionary	Home Furnishings	"Amsterdam, New York"	12/23/13	851968
MJN	Mead Johnson	reports	Consumer Staples	Packaged Foods & Meats	"Glenview, Illinois"	12/21/09	1452575
MKC	McCormick & Co.	reports	Consumer Staples	Packaged Foods & Meats	"Sparks, Maryland"		63754
MLM	Martin Marietta Materials	reports	Materials	Construction Materials	"Raleigh, North Carolina"	7/2/14	916076
MMC	Marsh & McLennan	reports	Financials	Insurance Brokers	"New York, New York"	8/31/87	62709
MMM	3M Company	reports	Industrials	Industrial Conglomerates	"St. Paul, Minnesota"		66740
MNST	Monster Beverage	reports	Consumer Staples	Soft Drinks	"Corona, California"	6/28/12	865752
MO	Altria Group Inc	reports	Consumer Staples	Tobacco	"Richmond, Virginia"		764180
MON	Monsanto Co.	reports	Materials	Fertilizers & Agricultural Chemicals	"Creve Coeur, Missouri"	8/7/02	1110783
MOS	The Mosaic Company	reports	Materials	Fertilizers & Agricultural Chemicals	"Plymouth, Minnesota"	9/26/11	1285785
MRK	Merck & Co.	reports	Health Care	Pharmaceuticals	"Whitehouse Station, New Je"		310158
MRO	Marathon Oil Corp.	reports	Energy	Oil & Gas Exploration & Production	"Houston, Texas"	5/1/91	101778
MSFT	Microsoft Corp.	reports	Information Technology	Systems Software	"Redmond, Washington"	6/1/94	789019
MTB	M&T Bank Corp.	reports	Financials	Banks	"Buffalo, New York"		36270
MTD	Mettler Toledo	reports	Health Care	Life Sciences Tools & Services	"Columbus, Ohio"	9/6/16	1037646
MU	Micron Technology	reports	Information Technology	Semiconductors	"Boise, Idaho"	9/27/94	723125
MUR	Murphy Oil	reports	Energy	Integrated Oil & Gas	"El Dorado, Arkansas"		717423
MYL	Mylan N.V.	reports	Health Care	Pharmaceuticals	"Amsterdam, Netherlands"		69499
NBL	Noble Energy Inc	reports	Energy	Oil & Gas Exploration & Production	"Houston, Texas"	10/8/07	72207
NDAQ	NASDAQ OMX Group	reports	Financials	Diversified Financial Services	"New York, New York"	10/22/08	1120193
NEE	NextEra Energy	reports	Utilities	MultiUtilities	"Juno Beach, Florida"	6/30/76	753308
NEM	Newmont Mining Corp. (Hldg. Co.	reports	Materials	Gold	"Denver, Colorado"	6/30/69	1164727
NFLX	Netflix Inc.	reports	Information Technology	Internet Software & Services	"Los Gatos, California"	12/20/10	1065280
NFX	Newfield Exploration Co	reports	Energy	Oil & Gas Exploration & Production	"Houston, Texas"	12/20/10	912750
NKE	Nike	reports	Consumer Discretionary	"Apparel, Accessories & Luxury Goods"	"Washington County, Oregon"	11/30/88	320187
NOV	National Oilwell Varco Inc.	reports	Energy	Oil & Gas Equipment & Services	"Houston, Texas"		1021860
NSC	Norfolk Southern Corp.	reports	Industrials	Railroads	"Norfolk, Virginia"		702165
NTAP	NetApp	reports	Information Technology	Internet Software & Services	"Sunnyvale, California"		1002047
NTRS	Northern Trust Corp.	reports	Financials	Asset Management & Custody Banks	"Chicago, Illinois"		73124
NUE	Nucor Corp.	reports	Materials	Steel	"Charlotte, North Carolina"	4/30/85	73309
NVDA	Nvidia Corporation	reports	Information Technology	Semiconductors	"Santa Clara, California"		1045810
NWL	Newell Brands	reports	Consumer Discretionary	Housewares & Specialties	"Sandy Springs, Georgia"	4/30/89	814453
O	Realty Income Corporation	reports	Real Estate	Retail REITs	"San Diego, California"	4/7/15	726728
OKE	ONEOK	reports	Energy	Oil & Gas Exploration & Production	"Tulsa, Oklahoma"	3/15/10	1039684
OMC	Omnicom Group	reports	Consumer Discretionary	Advertising	"New York, New York"		29989
ORLY	O'Reilly Automotive	reports	Consumer Discretionary	Specialty Stores	"Springfield, Missouri"	3/27/09	898173
OXY	Occidental Petroleum	reports	Energy	Oil & Gas Exploration & Production	"Los Angeles, California"	12/31/82	797468
PAYX	Paychex Inc.	reports	Information Technology	Internet Software & Services	"Penfield, New York"		723531
PBCT	People's United Financial	reports	Financials	Thrifts & Mortgage Finance	"Bridgeport, Connecticut"	11/13/08	1378946
PBI	Pitney-Bowes	reports	Industrials	"Technology, Hardware, Software and Supplies"	"Stamford, Connecticut"		78814
PCAR	PACCAR Inc.	reports	Industrials	Construction & Farm Machinery & Heavy Trucks	"Bellevue, Washington"	12/31/80	75362
PCG	PG&E Corp.	reports	Utilities	MultiUtilities	"San Francisco, California"		1004980
PCLN	Priceline.com Inc	reports	Consumer Discretionary	Internet & Direct Marketing Retail	"Norwalk, Connecticut"	11/6/09	1075531
PDCO	Patterson Companies	reports	Health Care	Health Care Supplies	"St. Paul, Minnesota"		891024
PEG	Public Serv. Enterprise Inc.	reports	Utilities	Electric Utilities	"Newark, New Jersey"		788784
PEP	PepsiCo Inc.	reports	Consumer Staples	Soft Drinks	"Purchase, New York"		77476
PFE	Pfizer Inc.	reports	Health Care	Pharmaceuticals	"New York, New York"		78003
PFG	Principal Financial Group	reports	Financials	Diversified Financial Services	"Des Moines, Iowa"		1126328
PG	Procter & Gamble	reports	Consumer Staples	Personal Products	"Cincinnati, Ohio"		80424
PGR	Progressive Corp.	reports	Financials	Property & Casualty Insurance	"Mayfield Village, Ohio"		80661
PH	Parker-Hannifin	reports	Industrials	Industrial Conglomerates	"Cleveland, Ohio"	11/30/85	76334
PHM	Pulte Homes Inc.	reports	Consumer Discretionary	Homebuilding	"Atlanta, Georgia"	4/30/84	822416
PKI	PerkinElmer	reports	Health Care	Health Care Equipment	"Waltham, Massachusetts"	5/31/85	31791
PM	Philip Morris International	reports	Consumer Staples	Tobacco	"New York, New York"	3/31/08	1413329
PNC	PNC Financial Services	reports	Financials	Banks	"Pittsburgh, Pennsylvania"	4/30/88	713676
PNR	Pentair Ltd.	reports	Industrials	Industrial Machinery	"Worsley, UK"	10/1/12	77360
PNW	Pinnacle West Capital	reports	Utilities	MultiUtilities	"Phoenix, Arizona"		764622
PPG	PPG Industries	reports	Materials	Diversified Chemicals	"Pittsburgh, Pennsylvania"		79879
PPL	PPL Corp.	reports	Utilities	Electric Utilities	"Allentown, Pennsylvania"		922224
PRU	Prudential Financial	reports	Financials	Diversified Financial Services	"Newark, New Jersey"		1137774
PVH	PVH Corp.	reports	Consumer Discretionary	"Apparel, Accessories & Luxury Goods"	"New York, New York"	2/15/13	78239
PWR	Quanta Services Inc.	reports	Industrials	Industrial Conglomerates	"Houston, Texas"	7/1/09	1050915
PX	Praxair Inc.	reports	Materials	Industrial Gases	"Danbury, Connecticut"	7/1/92	884905
QCOM	QUALCOMM Inc.	reports	Information Technology	Semiconductors	"San Diego, California"		804328
R	Ryder System	reports	Industrials	Industrial Conglomerates	"Miami, Florida"	12/31/82	85961
RCL	Royal Caribbean Cruises Ltd	reports	Consumer Discretionary	"Hotels, Resorts & Cruise Lines"	"Miami, Florida"	12/5/14	884887
REGN	Regeneron	reports	Health Care	Biotechnology	"Tarrytown, New York"	5/1/13	872589
RHI	Robert Half International	reports	Industrials	Human Resource & Employment Services	"Menlo Park, California"		315213
RHT	Red Hat Inc.	reports	Information Technology	Systems Software	"Raleigh, North Carolina"	7/27/09	1087423
RL	Polo Ralph Lauren Corp.	reports	Consumer Discretionary	"Apparel, Accessories & Luxury Goods"	"New York, New York"	2/2/07	1037038
ROK	Rockwell Automation Inc.	reports	Industrials	Industrial Conglomerates	"Milwaukee, Wisconsin"		1024478
ROP	Roper Industries	reports	Industrials	Industrial Conglomerates	"Sarasota, Florida"	12/23/09	882835
ROST	Ross Stores	reports	Consumer Discretionary	Apparel Retail	"Pleasanton, California"	12/21/09	745732
RRC	Range Resources Corp.	reports	Energy	Oil & Gas Exploration & Production	"Fort Worth, Texas"	12/21/07	315852
RSG	Republic Services Inc	reports	Industrials	Industrial Conglomerates	"Phoenix, Arizona"	12/5/08	1060391
SBUX	Starbucks Corp.	reports	Consumer Discretionary	Restaurants	"Seattle, Washington"		829224
SCG	SCANA Corp	reports	Utilities	MultiUtilities	"Cayce, South Carolina"	1/2/09	754737
SCHW	Charles Schwab Corporation	reports	Financials	Investment Banking & Brokerage	"San Francisco, California"		316709
SE	Spectra Energy Corp.	reports	Energy	Oil & Gas Refining & Marketing & Transportatio	"Houston, Texas"		1373835
SEE	Sealed Air	reports	Materials	Paper Packaging	"Elmwood Park, New Jersey"		1012100
SHW	Sherwin-Williams	reports	Materials	Specialty Chemicals	"Cleveland, Ohio"	6/30/64	89800
SIG	Signet Jewelers	reports	Consumer Discretionary	Specialty Stores	"Hamilton, Bermuda"	7/29/15	832988
SJM	JM Smucker	reports	Consumer Staples	Packaged Foods & Meats	"Orrville, Ohio"	11/6/08	91419
SLG	SL Green Realty	reports	Real Estate	Office REITs	"New York, New York"	3/20/15	1040971
SNA	Snap-On Inc.	reports	Consumer Discretionary	Household Appliances	"Kenosha, Wisconsin"	9/30/82	91440
SNI	Scripps Networks Interactive In	reports	Consumer Discretionary	Broadcasting & Cable TV	"Cincinnati, Ohio"	7/1/08	1430602
SO	Southern Co.	reports	Utilities	Electric Utilities	"Atlanta, Georgia"		92122
SPG	Simon Property Group Inc	reports	Real Estate	REITs	"Indianapolis, Indiana"		1063761
SPGI	"S&P Global, Inc."	reports	Financials	Diversified Financial Services	"New York, New York"		64040
SPLS	Staples Inc.	reports	Consumer Discretionary	Specialty Stores	"Framingham, Massachusetts"		791519
SRCL	Stericycle Inc	reports	Industrials	Industrial Conglomerates	"Lake Forest, Illinois"	11/19/08	861878
SRE	Sempra Energy	reports	Utilities	MultiUtilities	"San Diego, California"		1032208
STI	SunTrust Banks	reports	Financials	Banks	"Atlanta, Georgia"	5/31/88	750556
STT	State Street Corp.	reports	Financials	Diversified Financial Services	"Boston, Massachusetts"		93751
STX	Seagate Technology	reports	Information Technology	Computer Storage & Peripherals	"Dublin, Ireland"	7/2/12	1137789
STZ	Constellation Brands	reports	Consumer Staples	Distillers & Vintners	"Victor, New York"		16918
SWK	Stanley Black & Decker	reports	Consumer Discretionary	Household Appliances	"New Britain, Connecticut"	9/30/82	93556
SWKS	Skyworks Solutions	reports	Information Technology	Semiconductors	"Woburn, Massachusetts"	3/12/15	4127
SWN	Southwestern Energy	reports	Energy	Oil & Gas Exploration & Production	"Houston, Texas[6]"	6/6/08	7332
SYK	Stryker Corp.	reports	Health Care	Health Care Equipment	"Kalamazoo, Michigan"		310764
SYMC	Symantec Corp.	reports	Information Technology	Application Software	"Mountain View, California"	3/25/03	849399
SYY	Sysco Corp.	reports	Consumer Staples	Food Distributors	"Houston, Texas"	12/31/86	96021
T	AT&T Inc	reports	Telecommunications Servi	Integrated Telecommunications Services	"Dallas, Texas"	11/30/83	732717
TAP	Molson Coors Brewing Company	reports	Consumer Staples	Brewers	"Denver, Colorado"	6/30/76	24545
TDC	Teradata Corp.	reports	Information Technology	Application Software	"Miamisburg, Ohio"	10/1/07	816761
TEL	TE Connectivity Ltd.	reports	Information Technology	Electronic Manufacturing Services	"Schaffhausen, Switzerland"	10/17/11	1385157
TGNA	"Tegna, Inc."	reports	Consumer Discretionary	Publishing	"McLean, Virginia"	12/31/75	39899
TGT	Target Corp.	reports	Consumer Discretionary	General Merchandise Stores	"Minneapolis, Minnesota"	12/31/76	27419
TIF	Tiffany & Co.	reports	Consumer Discretionary	"Apparel, Accessories & Luxury Goods"	"New York, New York"		98246
TJX	TJX Companies Inc.	reports	Consumer Discretionary	Apparel Retail	"Framingham, Massachusetts"	9/30/85	109198
TMK	Torchmark Corp.	reports	Financials	Life & Health Insurance	"McKinney, Texas"	4/30/89	320335
TMO	Thermo Fisher Scientific	reports	Health Care	Health Care Equipment	"Waltham, Massachusetts"		97745
TRV	The Travelers Companies Inc.	reports	Financials	Property & Casualty Insurance	"New York, New York"		86312
TSCO	Tractor Supply Company	reports	Consumer Discretionary	Specialty Retail	"Brentwood, Tennessee"	1/24/14	916365
TSN	Tyson Foods	reports	Consumer Staples	Packaged Foods & Meats	"Springdale, Arkansas"		100493
TSO	Tesoro Petroleum Co.	reports	Energy	Oil & Gas Refining & Marketing & Transportatio	"San Antonio, Texas"	9/27/07	50104
TSS	Total System Services	reports	Information Technology	Internet Software & Services	"Columbus, Georgia"	1/2/08	721683
TXN	Texas Instruments	reports	Information Technology	Semiconductors	"Dallas, Texas"		97476
TXT	Textron Inc.	reports	Industrials	Industrial Conglomerates	"Providence, Rhode Island"	12/31/78	217346
UAA	Under Armour	reports	Consumer Discretionary	"Apparel, Accessories & Luxury Goods"	"Baltimore, Maryland"	3/25/16	1336917
UAL	United Continental Holdings	reports	Industrials	Airlines	"Chicago, Illinois"	9/3/15	100517
UDR	UDR Inc	reports	Real Estate	Residential REITs	"Highlands Ranch, Colorado"	3/7/16	74208
UHS	"Universal Health Services, Inc."	reports	Health Care	Health Care Facilities	"King of Prussia, Pennsylva"	9/20/14	352915
ULTA	Ulta Salon Cosmetics & Fragranc	reports	Consumer Discretionary	Specialty Stores	"Bolingbrook, Illinois"	4/18/16	1403568
UNH	United Health Group Inc.	reports	Health Care	Managed Health Care	"Minnetonka, Minnesota"	7/1/94	731766
UNM	Unum Group	reports	Financials	Diversified Financial Services	"Chattanooga, Tennessee"	3/1/94	5513
UNP	Union Pacific	reports	Industrials	Railroads	"Omaha, Nebraska"		100885
UPS	United Parcel Service	reports	Industrials	Air Freight & Logistics	"Atlanta, Georgia"		1090727
URBN	Urban Outfitters	reports	Consumer Discretionary	Apparel Retail	"Philadelphia, Pennsylvania"	2/8/10	912615
USB	U.S. Bancorp	reports	Financials	Banks	"Minneapolis, Minnesota"		36104
UTX	United Technologies	reports	Industrials	Industrial Conglomerates	"Hartford, Connecticut"		101829
V	Visa Inc.	reports	Information Technology	Internet Software & Services	"San Francisco, California"	12/21/09	1403161
VAR	Varian Medical Systems	reports	Health Care	Health Care Equipment	"Palo Alto, California"	2/12/07	203527
VFC	V.F. Corp.	reports	Consumer Discretionary	"Apparel, Accessories & Luxury Goods"	"Greensboro, North Carolina"	6/30/79	103379
VIAB	Viacom Inc.	reports	Consumer Discretionary	Broadcasting & Cable TV	"New York, New York"		1339947
VLO	Valero Energy	reports	Energy	Oil & Gas Refining & Marketing & Transportatio	"San Antonio, Texas"		1035002
VMC	Vulcan Materials	reports	Materials	Construction Materials	"Birmingham, Alabama"		1396009
VNO	Vornado Realty Trust	reports	Real Estate	REITs	"New York, New York"		899689
VRSK	Verisk Analytics	reports	Industrials	Research & Consulting Services	"Jersey City, New Jersey"	10/8/15	1442145
VRSN	Verisign Inc.	reports	Information Technology	Internet Software & Services	"Dulles, Virginia"		1014473
VRTX	Vertex Pharmaceuticals Inc	reports	Health Care	Biotechnology	"Cambridge, Massachusetts"	9/23/13	875320
VTR	Ventas Inc	reports	Real Estate	REITs	"Chicago, Illinois"	3/4/09	740260
VZ	Verizon Communications	reports	Telecommunications Servi	Integrated Telecommunications Services	"New York, New York"	11/30/83	732712
WAT	Waters Corporation	reports	Health Care	Health Care Distributors	"Milford, Massachusetts"		1000697
WDC	Western Digital	reports	Information Technology	Computer Storage & Peripherals	"Irvine, California"	7/1/09	106040
WEC	Wec Energy Group Inc	reports	Utilities	Electric Utilities	"Milwaukee, Wisconsin"	10/31/08	783325
WFC	Wells Fargo	reports	Financials	Banks	"San Francisco, California"	6/30/76	72971
WFM	Whole Foods Market	reports	Consumer Staples	Food Retail	"Austin, Texas"		865436
WHR	Whirlpool Corp.	reports	Consumer Discretionary	Household Appliances	"Benton Harbor, Michigan"		106640
WM	Waste Management Inc.	reports	Industrials	Environmental Services	"Houston, Texas"		823768
WMB	Williams Cos.	reports	Energy	Oil & Gas Exploration & Production	"Tulsa, Oklahoma"	3/31/75	107263
WMT	Wal-Mart Stores	reports	Consumer Staples	Hypermarkets & Super Centers	"Bentonville, Arkansas"	8/31/82	104169
WU	Western Union Co	reports	Information Technology	Internet Software & Services	"Englewood, Colorado"		1365135
WY	Weyerhaeuser Corp.	reports	Real Estate	REITs	"Federal Way, Washington"		106535
WYN	Wyndham Worldwide	reports	Consumer Discretionary	"Hotels, Resorts & Cruise Lines"	"Parsippany, New Jersey"		1361658
WYNN	Wynn Resorts Ltd	reports	Consumer Discretionary	Casinos & Gaming	"Las Vegas, Nevada"	11/14/08	1174922
XEC	Cimarex Energy	reports	Energy	Oil & Gas Exploration & Production	"Denver, Colorado"	6/21/14	1168054
XEL	Xcel Energy Inc	reports	Utilities	MultiUtilities	"Minneapolis, Minnesota"		72903
XL	XL Capital	reports	Financials	Property & Casualty Insurance	"Hamilton, Bermuda"		875159
XLNX	Xilinx Inc	reports	Information Technology	Semiconductors	"San Jose, California"		743988
XOM	Exxon Mobil Corp.	reports	Energy	Integrated Oil & Gas	"Irving, Texas"		34088
XRAY	Dentsply Sirona	reports	Health Care	Health Care Supplies	"York, Pennsylvania"	11/14/08	818479
XRX	Xerox Corp.	reports	Information Technology	IT Consulting & Other Services	"Norwalk, Connecticut"		108772
YHOO	Yahoo Inc.	reports	Information Technology	Internet Software & Services	"Sunnyvale, California"		1011006
YUM	Yum! Brands Inc	reports	Consumer Discretionary	Restaurants	"Louisville, Kentucky"	10/6/97	1041061
ZBH	Zimmer Biomet Holdings	reports	Health Care	Health Care Equipment	"Warsaw, Indiana"		1136869
ZION	Zions Bancorp	reports	Financials	Regional Banks	"Salt Lake City, Utah"		109380